BATCH ID,NAME VEND,INVOICE ID,Line,AMT LINE , DESCRIPTION, ISSUED DATE,AMT TOTAL,Department,PRO CLASS 1
144205,PA CONSULTING SERVICES LTD    ,21287,1,"22,954.50",SOFTWARE COTS                           ,09/01/2023,"22,954.50",Grenfell Investigation Legal Costs,ICT
144223,PA CONSULTING SERVICES LTD    ,21729,1,"16,084.50",SOFTWARE COTS                           ,23/01/2023,"16,084.50",Grenfell Investigation Legal Costs,ICT
241222P     ,WORCESTERSHIRE MEDAL SERVICE L,37752,1,12.16,UNIFORMS                                ,09/01/2023,362.52,Fire Stations (North West),Clothing
241222P     ,WORCESTERSHIRE MEDAL SERVICE L,37752,2,13.6,UNIFORMS                                ,09/01/2023,,Fire Stations (North West),Clothing
241222P     ,WORCESTERSHIRE MEDAL SERVICE L,37752,3,12.16,UNIFORMS                                ,09/01/2023,,Fire Stations (South East),Clothing
241222P     ,WORCESTERSHIRE MEDAL SERVICE L,37752,4,9.12,UNIFORMS                                ,09/01/2023,,Fire Stations (South East),Clothing
241222P     ,WORCESTERSHIRE MEDAL SERVICE L,37752,5,3.04,UNIFORMS                                ,09/01/2023,,Fire Stations (South East),Clothing
241222P     ,WORCESTERSHIRE MEDAL SERVICE L,37752,6,9.12,UNIFORMS                                ,09/01/2023,,Fire Stations (North East),Clothing
241222P     ,WORCESTERSHIRE MEDAL SERVICE L,37752,7,9.12,UNIFORMS                                ,09/01/2023,,Fire Stations (North East),Clothing
241222P     ,WORCESTERSHIRE MEDAL SERVICE L,37752,8,9.12,UNIFORMS                                ,09/01/2023,,Fire Stations (South East),Clothing
241222P     ,WORCESTERSHIRE MEDAL SERVICE L,37752,9,12.16,UNIFORMS                                ,09/01/2023,,Fire Stations (North West),Clothing
241222P     ,WORCESTERSHIRE MEDAL SERVICE L,37752,10,6.08,UNIFORMS                                ,09/01/2023,,Fire Stations (North West),Clothing
241222P     ,WORCESTERSHIRE MEDAL SERVICE L,37752,11,9.12,UNIFORMS                                ,09/01/2023,,Fire Stations (South East),Clothing
241222P     ,WORCESTERSHIRE MEDAL SERVICE L,37752,12,12.16,UNIFORMS                                ,09/01/2023,,Fire Stations (North West),Clothing
241222P     ,WORCESTERSHIRE MEDAL SERVICE L,37752,13,3.04,UNIFORMS                                ,09/01/2023,,Fire Stations (South East),Clothing
241222P     ,WORCESTERSHIRE MEDAL SERVICE L,37752,14,6.08,UNIFORMS                                ,09/01/2023,,Fire Stations (South West),Clothing
241222P     ,WORCESTERSHIRE MEDAL SERVICE L,37752,15,9.12,UNIFORMS                                ,09/01/2023,,Fire Stations (North West),Clothing
241222P     ,WORCESTERSHIRE MEDAL SERVICE L,37752,16,3.04,UNIFORMS                                ,09/01/2023,,Fire Stations (North East),Clothing
241222P     ,WORCESTERSHIRE MEDAL SERVICE L,37752,17,6.08,UNIFORMS                                ,09/01/2023,,Fire Stations (South West),Clothing
241222P     ,WORCESTERSHIRE MEDAL SERVICE L,37752,18,12.16,UNIFORMS                                ,09/01/2023,,Fire Stations (South West),Clothing
241222P     ,WORCESTERSHIRE MEDAL SERVICE L,37752,19,3.04,UNIFORMS                                ,09/01/2023,,Fire Stations (North East),Clothing
241222P     ,WORCESTERSHIRE MEDAL SERVICE L,37752,20,12.16,UNIFORMS                                ,09/01/2023,,Fire Stations (South West),Clothing
241222P     ,WORCESTERSHIRE MEDAL SERVICE L,37752,21,6.08,UNIFORMS                                ,09/01/2023,,Fire Stations (South West),Clothing
