BATCH ID,NAME VEND,INVOICE ID,Line,AMT LINE , DESCRIPTION, ISSUED DATE,AMT TOTAL,Department,PRO CLASS 1
800186881,CLOSE BROTHERS RAIL LTD       ,5590,30,82.25,REACTIVE BUILDING FABRIC                ,09/01/2023,,Property Department,Works - Construction
800186881,CLOSE BROTHERS RAIL LTD       ,5590,31,36.46,REACTIVE BUILDING FABRIC                ,09/01/2023,,Property Department,Works - Construction
800186881,CLOSE BROTHERS RAIL LTD       ,5590,32,98.65,REACTIVE BUILDING FABRIC                ,09/01/2023,,Property Department,Works - Construction
800186881,CLOSE BROTHERS RAIL LTD       ,5590,33,30.13,REACTIVE BUILDING FABRIC                ,09/01/2023,,Property Department,Works - Construction
800186881,CLOSE BROTHERS RAIL LTD       ,5590,34,126.05,REACTIVE BUILDING FABRIC                ,09/01/2023,,Property Department,Works - Construction
800186881,CLOSE BROTHERS RAIL LTD       ,5590,35,30.13,REACTIVE BUILDING FABRIC                ,09/01/2023,,Property Department,Works - Construction
800186881,CLOSE BROTHERS RAIL LTD       ,5590,36,42.18,REACTIVE BUILDING FABRIC                ,09/01/2023,,Property Department,Works - Construction
800186881,CLOSE BROTHERS RAIL LTD       ,5590,37,21.09,REACTIVE BUILDING FABRIC                ,09/01/2023,,Property Department,Works - Construction
800186881,CLOSE BROTHERS RAIL LTD       ,5590,38,45.2,REACTIVE BUILDING FABRIC                ,09/01/2023,,Property Department,Works - Construction
800186881,CLOSE BROTHERS RAIL LTD       ,5590,39,92.2,REACTIVE BUILDING FABRIC                ,09/01/2023,,Property Department,Works - Construction
800186881,CLOSE BROTHERS RAIL LTD       ,5590,40,58.32,REACTIVE BUILDING FABRIC                ,09/01/2023,,Property Department,Works - Construction
800186881,CLOSE BROTHERS RAIL LTD       ,5590,41,100,REACTIVE BUILDING FABRIC                ,09/01/2023,,Property Department,Works - Construction
800186881,CLOSE BROTHERS RAIL LTD       ,5590,42,15,REACTIVE BUILDING FABRIC                ,09/01/2023,,Property Department,Works - Construction
800186881,CLOSE BROTHERS RAIL LTD       ,5590,43,58.32,REACTIVE BUILDING FABRIC                ,09/01/2023,,Property Department,Works - Construction
800186881,CLOSE BROTHERS RAIL LTD       ,5590,44,25,REACTIVE BUILDING FABRIC                ,09/01/2023,,Property Department,Works - Construction
800186881,CLOSE BROTHERS RAIL LTD       ,5590,45,100,REACTIVE BUILDING FABRIC                ,09/01/2023,,Property Department,Works - Construction
800186881,CLOSE BROTHERS RAIL LTD       ,5590,46,5,REACTIVE BUILDING FABRIC                ,09/01/2023,,Property Department,Works - Construction
800186881,CLOSE BROTHERS RAIL LTD       ,5590,47,5,REACTIVE BUILDING FABRIC                ,09/01/2023,,Property Department,Works - Construction
800186881,CLOSE BROTHERS RAIL LTD       ,5590,48,5,REACTIVE BUILDING FABRIC                ,09/01/2023,,Property Department,Works - Construction
800187836,CLOSE BROTHERS RAIL LTD       ,5674,1,108.13,PLANNED BUILDING FABRIC                 ,26/01/2023,"6,814.15",Property Department,Works - Construction
800187836,CLOSE BROTHERS RAIL LTD       ,5674,2,66.89,PLANNED BUILDING FABRIC                 ,26/01/2023,,Property Department,Works - Construction
800187836,CLOSE BROTHERS RAIL LTD       ,5674,3,76.7,PLANNED BUILDING FABRIC                 ,26/01/2023,,Property Department,Works - Construction
800187836,CLOSE BROTHERS RAIL LTD       ,5674,4,75.2,PLANNED BUILDING FABRIC                 ,26/01/2023,,Property Department,Works - Construction
800187836,CLOSE BROTHERS RAIL LTD       ,5674,5,73.3,PLANNED BUILDING FABRIC                 ,26/01/2023,,Property Department,Works - Construction
800187836,CLOSE BROTHERS RAIL LTD       ,5674,6,58.17,PLANNED BUILDING FABRIC                 ,26/01/2023,,Property Department,Works - Construction
800187836,CLOSE BROTHERS RAIL LTD       ,5674,7,63.24,PLANNED BUILDING FABRIC                 ,26/01/2023,,Property Department,Works - Construction
800187836,CLOSE BROTHERS RAIL LTD       ,5674,8,63.11,PLANNED BUILDING FABRIC                 ,26/01/2023,,Property Department,Works - Construction
800187836,CLOSE BROTHERS RAIL LTD       ,5674,9,53.43,PLANNED BUILDING FABRIC                 ,26/01/2023,,Property Department,Works - Construction
800187836,CLOSE BROTHERS RAIL LTD       ,5674,10,63.37,PLANNED BUILDING FABRIC                 ,26/01/2023,,Property Department,Works - Construction
